id;key;first_name;last_name;team_role;exchange_allowed
1;10850;Jan;Kutch;indeed noisily itchy;true
2;20009;Beryl;Johnson;cleanse amidst;true
3;6521;Deion;Brakus;versus voluntarily;false
4;17488;Grady;Kertzmann;out twang geek;true
5;1202;Coy;Boyle;perfectly vacantly fortunate;false
6;28293;Ofelia;Konopelski;dirty alongside homestead;false
7;25722;Clare;Gottlieb;towards woot;false
8;4608;Leola;O'Connell;unrealistic;false
9;29076;Justina;Volkman;yieldingly;false
10;32021;Joel;Greenholt;considering afore;true
